StartDate,EndDate,Status,,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,,,DistributionChannel,UserLanguage,consent,id,birth_year,sc_instructions,spanking_1986,spanking_2018,spanking_self,woman_home_1977,woman_home_2018,woman_home_self,weed_1973,weed_2018,weed_self,affairs_1973,affairs_2018,affairs_self,harassment_1986,harassment_2017,harassment_self,woman_prez_1972,woman_prez_2010,woman_prez_self,religion_1965,religion_2018,religion_self,politics_1990,politics_2016,politics_self,abortion_1977,abortion_2018,abortion_self,premarital_sex_1972,premarital_sex_2018,premarital_sex_self,black_prez_1978,black_prez_2010,black_prez_self,gay_marriage_1988,gay_marriage_2018,gay_marriage_self,gun_1972,gun_2018,gun_self,handgun_1987,handgun_2019,handgun_self,assault_1996,assault_2018,assault_self,death_1972,death_2018,death_self,smoking_1990,smoking_2018,smoking_self,immigration_1965,immigration_2019,immigration_self,i_strength_1994,i_strength_2019,i_strength_self,climate_worry_1990,climate_worry_2019,climate_worry_self,climate_belief_2001,climate_belief_2019,climate_belief_self,women_draft_1979,women_draft_2016,women_draft_self,bible_1976,bible_2017,bible_self,god_1965,god_2017,god_self,black_intel_1990,black_intel_2018,black_intel_self,black_work_1990,black_work_2018,black_work_self,hispanic_work_1990,hispanic_work_2018,hispanic_work_self,hispanic_intel_1990,hispanic_intel_2018,hispanic_intel_self,asian_work_1992,asian_work_2016,asian_work_self,black_marry_1990,black_marry_2018,black_marry_self,hispanic_marry_1990,hispanic_marry_2018,hispanic_marry_self,asian_marry_1990,asian_marry_2018,asian_marry_self,women_politics_1974,women_politics_2018,women_politics_self,abortion_health_1972,abortion_health_2018,abortion_health_self,women_work_1994,women_work_2012,women_work_self,women_preschool_1988,women_preschool_2012,women_preschool,gay_adopt_1992,gay_adopt_2016,gay_adopt,gay_military_1992,gay_military_2012,gay_military_self,communist_1972,communist_2018,communist_self,anti_religion_1972,anti_religion_2018,anti_religion_self,homo_speak_1973,homo_speak_2018,homo_speak_self,militarist_1976,militarist_2018,militarist_self,racist_1976,racist_2018,racist_self,therm_explain,black_1964,black_2016,black_self,hispanic_1976,hispanic_2016,hispanic_self,illegal_1988,illegal_2016,illegal_self,gay_1984,gay_2016,gay_self,asian_1992,asian_2016,asian_self,poor_1972,poor_2016,poor_self,welfare_1976,welfare_2012,welfare_self,feminists_1988,feminists_2016,feminists_self,attention_1,attention_2,social_change,age,gender,race,language,language_2_TEXT,eng_comp,check,check_4_TEXT,education,political_ideology,political_party,lookup,comments,instructions_2_TEXT,FL_59_DO_FL_60,FL_59_DO_FL_270,FL_59_DO_FL_224,FL_59_DO_FL_163,FL_59_DO_FL_166,FL_40_DO_spanking,FL_40_DO_womanhome,FL_40_DO_weed,FL_40_DO_affairs,FL_40_DO_sexualharassment,FL_40_DO_womanpresident,FL_40_DO_religion,FL_40_DO_politics,FL_40_DO_abortion,FL_40_DO_premaritalsex,FL_40_DO_blackpresident,FL_40_DO_gaymarriage,FL_40_DO_gun,FL_40_DO_handgun,FL_40_DO_assault,FL_40_DO_death,FL_40_DO_smoking,FL_40_DO_immigration,FL_40_DO_i_strength,FL_40_DO_climate_worry,FL_40_DO_climate_belief,FL_40_DO_women_draft,FL_40_DO_bible,FL_40_DO_god,FL_40_DO_black_intel,FL_40_DO_black_work,FL_40_DO_hispanic_work,FL_40_DO_hispanic_intel,FL_40_DO_asian_work,FL_40_DO_black_marry,FL_40_DO_hispanic_marry,FL_40_DO_asian_marry,FL_40_DO_women_politics,FL_40_DO_abortion_health,FL_40_DO_women_work,FL_40_DO_women_preschool,FL_40_DO_gay_adopt,FL_40_DO_gay_military,FL_40_DO_communist,FL_40_DO_anti_religion,FL_40_DO_homo_speak,FL_40_DO_militarist,FL_40_DO_racist,FL_272_DO_spanking,FL_272_DO_womanhome,FL_272_DO_weed,FL_272_DO_affairs,FL_272_DO_sexualharassment,FL_272_DO_womanpresident,FL_272_DO_religion,FL_272_DO_politics,FL_272_DO_abortion,FL_272_DO_premaritalsex,FL_272_DO_blackpresident,FL_272_DO_gaymarriage,FL_272_DO_gun,FL_272_DO_handgun,FL_272_DO_assault,FL_272_DO_death,FL_272_DO_smoking,FL_272_DO_immigration,FL_272_DO_i_strength,FL_272_DO_climate_worry,FL_272_DO_climate_belief,FL_272_DO_women_draft,FL_272_DO_bible,FL_272_DO_god,FL_272_DO_black_intel,FL_272_DO_black_work,FL_272_DO_hispanic_work,FL_272_DO_hispanic_intel,FL_272_DO_asian_work,FL_272_DO_black_marry,FL_272_DO_hispanic_marry,FL_272_DO_asian_marry,FL_272_DO_women_politics,FL_272_DO_abortion_health,FL_272_DO_women_work,FL_272_DO_women_preschool,FL_272_DO_gay_adopt,FL_272_DO_gay_military,FL_272_DO_communist,FL_272_DO_anti_religion,FL_272_DO_homo_speak,FL_272_DO_militarist,FL_272_DO_racist,FL_226_DO_spanking,FL_226_DO_womanhome,FL_226_DO_weed,FL_226_DO_affairs,FL_226_DO_sexualharassment,FL_226_DO_womanpresident,FL_226_DO_religion,FL_226_DO_politics,FL_226_DO_abortion,FL_226_DO_premaritalsex,FL_226_DO_blackpresident,FL_226_DO_gaymarriage,FL_226_DO_gun,FL_226_DO_handgun,FL_226_DO_assault,FL_226_DO_death,FL_226_DO_smoking,FL_226_DO_immigration,FL_226_DO_i_strength,FL_226_DO_climate_worry,FL_226_DO_climate_belief,FL_226_DO_women_draft,FL_226_DO_bible,FL_226_DO_god,FL_226_DO_black_intel,FL_226_DO_black_work,FL_226_DO_hispanic_work,FL_226_DO_hispanic_intel,FL_226_DO_asian_work,FL_226_DO_black_marry,FL_226_DO_hispanic_marry,FL_226_DO_asian_marry,FL_226_DO_women_politics,FL_226_DO_abortion_health,FL_226_DO_women_work,FL_226_DO_women_preschool,FL_226_DO_gay_adopt,FL_226_DO_gay_military,FL_226_DO_communist,FL_226_DO_anti_religion,FL_226_DO_homo_speak,FL_226_DO_militarist,FL_226_DO_racist,FL_163_DO_FL_161,FL_163_DO_FL_61,FL_116_DO_spanking,FL_116_DO_womanhome,FL_116_DO_weed,FL_116_DO_affairs,FL_116_DO_sexualharassment,FL_116_DO_womanpresident,FL_116_DO_religion,FL_116_DO_politics,FL_116_DO_abortion,FL_116_DO_premaritalsex,FL_116_DO_blackpresident,FL_116_DO_gaymarriage,FL_116_DO_gun,FL_116_DO_handgun,FL_116_DO_assault,FL_116_DO_death,FL_116_DO_smoking,FL_116_DO_immigration,FL_116_DO_i_strength,FL_116_DO_climate_worry,FL_116_DO_climate_belief,FL_116_DO_women_draft,FL_116_DO_bible,FL_116_DO_god,FL_116_DO_black_intel,FL_116_DO_black_work,FL_116_DO_hispanic_work,FL_116_DO_hispanic_intel,FL_116_DO_asian_work,FL_116_DO_black_marry,FL_116_DO_hispanic_marry,FL_116_DO_asian_marry,FL_116_DO_women_politics,FL_116_DO_abortion_health,FL_116_DO_women_work,FL_116_DO_women_preschool,FL_116_DO_gay_adopt,FL_116_DO_gay_military,FL_116_DO_communist,FL_116_DO_anti_religion,FL_116_DO_homo_speak,FL_116_DO_militarist,FL_116_DO_racist,FL_19_DO_blackthermometer,FL_19_DO_hispanicthermometer,FL_19_DO_illegal,FL_19_DO_Gaysandlesbiansthermometer,FL_19_DO_Asian-Americansthermometer,FL_19_DO_poorpeoplethermometer,FL_19_DO_welfare,FL_19_DO_feministsthermometer,FL_166_DO_FL_167,FL_166_DO_FL_213,FL_169_DO_spanking,FL_169_DO_womanhome,FL_169_DO_weed,FL_169_DO_affairs,FL_169_DO_sexualharassment,FL_169_DO_womanpresident,FL_169_DO_religion,FL_169_DO_politics,FL_169_DO_abortion,FL_169_DO_premaritalsex,FL_169_DO_blackpresident,FL_169_DO_gaymarriage,FL_169_DO_gun,FL_169_DO_handgun,FL_169_DO_assault,FL_169_DO_death,FL_169_DO_smoking,FL_169_DO_immigration,FL_169_DO_i_strength,FL_169_DO_climate_worry,FL_169_DO_climate_belief,FL_169_DO_women_draft,FL_169_DO_bible,FL_169_DO_god,FL_169_DO_black_intel,FL_169_DO_black_work,FL_169_DO_hispanic_work,FL_169_DO_hispanic_intel,FL_169_DO_asian_work,FL_169_DO_black_marry,FL_169_DO_hispanic_marry,FL_169_DO_asian_marry,FL_169_DO_women_politics,FL_169_DO_abortion_health,FL_169_DO_women_work,FL_169_DO_women_preschool,FL_169_DO_gay_adopt,FL_169_DO_gay_military,FL_169_DO_communist,FL_169_DO_anti_religion,FL_169_DO_homo_speak,FL_169_DO_militarist,FL_169_DO_racist,FL_215_DO_blackthermometer,FL_215_DO_hispanicthermometer,FL_215_DO_illegal,FL_215_DO_Gaysandlesbiansthermometer,FL_215_DO_Asian-Americansthermometer,FL_215_DO_poorpeoplethermometer,FL_215_DO_welfare,FL_215_DO_feministsthermometer
2/20/20,2/20/20,IP Address,,100,860,TRUE,43881.5913,R_SCp3dTjy1m6Y3L3,,,,,,,anonymous,EN,I consent to take part in this study,5dd332b8a9ead03463d5265e,1977,I understand,,,,,,,,,,24,37,Almost always wrong,,,,18,37,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,85,Kept at present level,,,,,,,,,,35,45,Should,15,32,"Ancient book of fables, legends, history, and moral precepts recorded by man",,,,,,,,,,6,4,2,3,4,6,,,,,,,,,,,,,67,50,Disagree,35,42,Yes,,,,,,,18,39,Yes,10,25,"Yes, think so",13,32,Allowed,,,,,,,,,,,,,I understand,34,63,94,35,64,85,24,51,93,30,68,97,55,84,94,18,25,95,19,39,86,13,38,95,1,1,4,43,Female,White,English,,Very Good,Other,tree,Four-year college degree,Very liberal,Lean Democrat,No,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,2,,3,,,,,,,,,,,,7,,,,11,10,,,,6,9,,,,,1,4,,,5,8,12,,,,,7,5,3,2,1,6,4,8
2/20/20,2/20/20,IP Address,,100,336,TRUE,43881.59133,R_2Eb3TpawrdLNEwG,,,,,,,anonymous,EN,I consent to take part in this study,5e27d354bb31cca0779020e0,1998,I understand,,,,,,,50,70,Legal,,,,,,,60,90,Yes,50,20,Fairly important,,,,,,,,,,,,,,,,20,25,Oppose,,,,30,45,"No, should not be",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1 (hardworking),1 (hardworking),,,,,,,35,15,Very in favor,30,15,Very in favor,,,,70,40,Agree,40,65,Yes,,,,70,40,Work part-time,40,60,Yes,,,,,,,,,,,,,,,,,,,I understand,30,70,90,40,70,100,50,40,45,30,60,100,80,95,100,30,50,80,20,40,40,60,40,30,1,1,2,21,Male,White,English,,Very Good,Other,tree,Four-year college degree,Somewhat conservative,Lean Republican,No,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,7,,,11,5,,,,,,3,,2,,,,,,,,,,,,9,,,12,10,,8,4,,1,6,,,,,,,4,3,2,5,8,6,7,1
2/20/20,2/20/20,IP Address,,100,952,TRUE,43881.59134,R_qPFCs2x10OI0MYF,,,,,,,anonymous,EN,I consent to take part in this study,5b1045e0096bf10001e36900,1985,I understand,60,40,Agree,,,,30,70,Legal,80,60,Always wrong,,,,10,80,Yes,,,,20,70,Fairly interested,,,,,,,,,,5,85,Neither agree nor disagree,,,,,,,,,,,,,10,90,"Yes, made illegal",20,70,Kept at present level,20,60,Strengthen our country,,,,30,50,Human activities,,,,,,,90,60,Yes,1 (unintelligent),4,5,2,6,1 (hardworking),,,,,,,,,,70,30,Somewhat in favor,,,,10,10,Somewhat in favor,80,80,Agree,30,70,Yes,60,70,Agree,,,,,,,5,30,Don't think so,,,,,,,,,,20,40,Allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,35,Male,Black or African-American,English,,Very Good,Other,tree,Four-year college degree,Neither liberal nor conservative,Independent,Yes,Thanks,,1,,,,,12,,10,2,,11,,20,,,,15,,,,,8,16,19,,14,,,9,1,7,,,,13,,17,5,4,3,,,6,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/20,2/20/20,IP Address,,100,769,TRUE,43881.59137,R_2CZKFnmNuyn1reG,,,,,,,anonymous,EN,I consent to take part in this study,5b101f7830d562000155a139,1978,I understand,,,,65,35,Agree,,,,15,25,Almost always wrong,70,45,Not a problem at all,,,,,,,,,,,,,,,,,,,20,70,Agree,25,45,Oppose,20,35,"No, should not be",,,,,,,30,45,"No, not made illegal",75,55,Decreased,50,50,Burden our country,30,50,Not at all,,,,10,10,Should not,,,,,,,,,,,,,5,1 (hardworking),4,4,5,4,1 (hardworking),1 (hardworking),4,,,,,,,,,,,,,60,45,Yes,,,,65,35,Work part-time,35,65,Yes,,,,,,,75,55,Allowed,,,,90,55,Allowed,80,55,Allowed,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,41,Male,White,English,,Very Good,Other,tree,Four-year college degree,Somewhat conservative,Strongly Republican,No,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,4,10,,,,,,,8,18,14,,,9,11,15,16,,17,,,,,7,2,13,,,,,5,,6,19,,,1,,12,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/20,2/20/20,IP Address,,100,811,TRUE,43881.59139,R_3J8EJqRWXomrEPi,,,,,,,anonymous,EN,I consent to take part in this study,5be76e0505e5cd00017a1f8e,1969,I understand,,,,,,,30,65,Legal,,,,,,,0,76,Yes,,,,33,66,Fairly interested,,,,,,,,,,12,85,Strongly agree,5,85,Favor,,,,,,,77,22,Favor,10,60,"No, not made illegal",,,,0,50,Strengthen our country,10,80,A fair amount,10,70,Natural changes,,,,10,65,"Ancient book of fables, legends, history, and moral precepts recorded by man",,,,3,7 (intelligent),7 (intelligent),5,1 (hardworking),1 (hardworking),,,,2,6,7 (intelligent),,,,,,,95,5,Very in favor,,,,100,30,Disagree,,,,,,,,,,10,85,Yes,5,50,"Yes, think so",,,,,,,0,80,Allowed,,,,80,0,Not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,51,Female,White,English,,Very Good,Other,tree,Associate's degree,Somewhat liberal,Independent,No,"Thank you, and have a nice day!",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,17,,12,,,,16,8,,,13,2,,7,20,4,,10,,3,18,,5,,,14,,1,,,,9,6,,,15,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/20,2/20/20,IP Address,,100,1180,TRUE,43881.5914,R_72ogEsm15pCbA53,,,,,,,anonymous,EN,I consent to take part in this study,55ef4896b9401300137f40ac,1979,I understand,,,,,,,,,,,,,85,40,Somewhat of a problem,,,,,,,,,,,,,,,,15,80,Yes,5,80,Strongly agree,50,90,Favor,,,,,,,,,,,,,,,,30,20,Strengthen our country,,,,,,,,,,20,50,"Inspired word of God, not to be taken literally",85,50,Yes,,,,,,,,,,4,6,7 (intelligent),,,,,,,20,2,Very in favor,,,,,,,,,,,,,,,,,,,10,80,"Yes, think so",5,90,Allowed,,,,,,,0,0,Not allowed,,,,I understand,10,80,100,40,60,100,35,20,40,5,70,70,75,90,90,45,45,100,40,50,80,65,35,50,1,1,1 (very slowly),40,Male,Black or African-American,English,,Very Good,Other,tree,Four-year college degree,Neither liberal nor conservative,Independent,No,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,9,,,,,,5,12,3,,,,,,4,,,,11,10,,,,7,,,1,,,,,,,6,8,,,2,,4,7,1,3,8,6,2,5
2/20/20,2/20/20,IP Address,,100,900,TRUE,43881.59145,R_1DP7u25MaH2Tys0,,,,,,,anonymous,EN,I consent to take part in this study,5dd90a3435582289230264c8,1957,I understand,40,15,Strongly disagree,,,,,,,,,,50,35,Big problem,,,,70,60,Fairly important,,,,,,,,,,,,,,,,,,,25,20,"No, should not be",,,,,,,25,75,"No, not made illegal",,,,50,65,Strengthen our country,,,,,,,,,,,,,70,60,Yes,5,6,6,,,,,,,,,,,,,,,,30,15,Very in favor,30,15,Very in favor,,,,,,,,,,30,20,Stay home,,,,,,,,,,25,40,Allowed,,,,,,,,,,I understand,50,70,80,50,65,80,40,50,70,30,60,80,50,75,80,50,65,80,40,60,80,60,70,85,1,1,4,63,Female,White,English,,Very Good,Other,tree,Graduate school,Somewhat liberal,Strongly Democrat,No,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,6,,,,10,,1,,,,,,,3,,,8,,2,,,,,9,11,,,,,,7,5,,,,4,,,,12,,,,7,1,3,6,2,8,5,4
2/20/20,2/20/20,IP Address,,100,891,TRUE,43881.59146,R_31Z3F3W0hcsciMa,,,,,,,anonymous,EN,I consent to take part in this study,5e3b1852062fe106e642e678,1999,I understand,,,,50,15,Strongly disagree,80,80,Legal,10,20,Almost always wrong,30,5,Big problem,,,,,,,70,60,Fairly interested,,,,80,60,Wrong only sometimes,70,100,Yes,50,80,Strongly agree,40,60,Favor,40,70,"No, should not be",30,60,"No, should not be",,,,,,,,,,,,,50,80,A great deal,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,30,0,Very in favor,,,,30,10,Disagree,,,,,,,50,15,Work full time,,,,70,90,"Yes, think so",10,20,Not allowed,60,90,Allowed,,,,,,,30,5,Not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,20,Female,White,English,,Very Good,Other,tree,Associate's degree,Neither liberal nor conservative,Independent,No,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,6,14,15,,,19,,1,5,10,12,2,4,,,,,8,,,,,,,,,20,,3,,13,,,16,,18,7,9,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/20,2/20/20,IP Address,,100,779,TRUE,43881.59146,R_3RyMweCrqiRWGDH,,,,,,,anonymous,EN,I consent to take part in this study,5e0e434dc0b81f59c01162b8,1976,I understand,,,,,,,30,80,Legal,,,,0,30,Big problem,0,0,Yes,,,,,,,0,30,Yes,100,20,Always wrong,,,,0,90,Agree,,,,,,,80,90,"Yes, should be",,,,,,,,,,,,,,,,,,,,,,,,,80,20,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,20,Neither agree nor disagree,,,,,,,,,,,,,,,,0,90,Allowed,60,10,Not allowed,100,50,Not allowed,I understand,0,30,10,40,10,80,80,30,95,20,80,90,60,30,80,20,30,10,50,20,10,30,80,90,1,1,2,43,Female,Black or African-American,English,,Very Good,Other,tree,Associate's degree,Somewhat conservative,Lean Democrat,No,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,5,,7,4,,,11,8,,10,,,12,,,,,,,,,6,,,,,,,,,,,9,,,,,,1,3,2,6,5,1,2,8,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/20,2/20/20,IP Address,,100,767,TRUE,43881.59148,R_2y9Oe7gPz9HsmzD,,,,,,,anonymous,EN,I consent to take part in this study,5dbdf54d13d4c7320ab224f7,1946,I understand,,,,60,20,Disagree,,,,,,,,,,,,,,,,20,20,Very interested,,,,60,10,Not wrong at all,40,70,Yes,,,,10,50,Oppose,,,,15,45,"No, should not be",70,50,Favor,,,,,,,,,,,,,50,80,Natural changes,5,60,Should,,,,,,,,,,4,2,4,,,,,,,,,,50,20,Neither in favor nor opposed,50,15,Neither in favor nor opposed,,,,50,10,Disagree,,,,50,80,Agree,50,20,Stay home,,,,80,90,"Yes, think so",60,75,Allowed,70,70,Allowed,60,95,Allowed,70,70,Allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,73,Male,White,English,,Very Good,Other,tree,Four-year college degree,Somewhat conservative,Lean Republican,No,no,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,14,,18,4,,6,,17,12,,,,,19,1,,,,11,,,,10,2,,3,,7,5,,20,8,15,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/20,2/20/20,IP Address,,100,649,TRUE,43881.59149,R_3CVfokJ64Z71mJZ,,,,,,,anonymous,EN,I consent to take part in this study,5be2f3db4616da00010def19,1980,I understand,85,25,Disagree,,,,,,,15,30,Wrong only sometimes,,,,,,,85,35,Very important,,,,20,55,Yes,50,20,Not wrong at all,,,,,,,,,,,,,30,60,"Yes, should be",,,,20,60,"No, not made illegal",30,45,Decreased,,,,30,70,A great deal,,,,10,45,Should,20,50,"Inspired word of God, not to be taken literally",90,75,Yes,7 (intelligent),7 (intelligent),7 (intelligent),,,,3,5,2,,,,1 (hardworking),1 (hardworking),2,,,,70,40,Very in favor,,,,,,,80,65,Yes,85,96,Agree,65,25,Work full time,,,,,,,35,80,Allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,39,Female,Hispanic or Latino Origin,English,,Very Good,Other,tree,Graduate school,Neither liberal nor conservative,Independent,No,No,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,4,,,14,,6,3,,,,,12,,17,5,,1,,11,9,8,7,,20,,10,,2,,,16,15,13,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/20,2/20/20,IP Address,,100,903,TRUE,43881.59149,R_3kENr1FWDZlvc1b,,,,,,,anonymous,EN,I consent to take part in this study,5e1964b8d370f420ab2f30cd,1997,I understand,80,20,Disagree,50,30,Disagree,20,80,Legal,,,,40,65,Somewhat of a problem,,,,85,70,Not very important,80,70,Somewhat interested,,,,60,10,Not wrong at all,,,,,,,,,,,,,40,0,"Yes, should be",40,30,Favor,80,40,"No, not made illegal",,,,,,,,,,40,90,Human activities,,,,5,40,"Inspired word of God, not to be taken literally",98,60,Yes,,,,,,,,,,,,,3,2,3,60,5,Neither in favor nor opposed,,,,20,5,Neither in favor nor opposed,,,,40,90,Yes,,,,,,,,,,,,,10,90,Allowed,30,60,Allowed,15,98,Allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,23,Female,White,English,,Very Good,Other,tree,Some college,Very liberal,Lean Democrat,No,,,1,,,,,20,12,11,,5,,3,17,,10,,,,,1,8,14,,,,16,,13,9,,,,,6,15,,2,,18,,,,,7,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/20,2/20/20,IP Address,,100,1474,TRUE,43881.5915,R_2VqGJACOc9JfJGa,,,,,,,anonymous,EN,I consent to take part in this study,5c263f32867f660001ae1e29,1959,I understand,,,,,,,75,85,Legal,65,80,Always wrong,,,,,,,,,,70,80,Fairly interested,,,,60,75,Almost always wrong,,,,75,85,Strongly disagree,,,,20,45,"No, should not be",40,85,"Yes, should be",,,,,,,,,,50,40,Strengthen our country,,,,25,75,Human activities,30,50,Should not,20,25,"Inspired word of God, not to be taken literally",,,,,,,,,,,,,,,,4,4,3,40,25,Neither in favor nor opposed,30,10,Somewhat in favor,,,,,,,,,,70,90,Agree,75,60,Work part-time,65,80,No,,,,,,,10,30,Not allowed,35,15,Not allowed,,,,30,10,Not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,60,Male,White,English,,Very Good,Other,tree,High school diploma,Somewhat conservative,Strongly Republican,No,Good study,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1,,,,20,,12,,2,,13,6,,,,9,,7,3,15,,,,,,11,16,5,,,,10,18,14,,,17,8,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
