variable,explanation,verbatim text for opinion questions,target answer for opininion questions
climate_belief_2019,estimated responses to given item in given year,"From what you have heard or read, do you believe increases in the earth's temperature over the last century are due more to the effects of pollution from human activities or natural changes in the environment that are not due to human activities? ",believe caused by human activities
climate_belief_self,participant's response to given item,,
women_draft_1979,estimated responses to given item in given year,"If a draft were to become necessary, should young women be required to participate as well as young men, or not?",should
women_draft_2016,estimated responses to given item in given year,"If a draft were to become necessary, should young women be required to participate as well as young men, or not?",should
women_draft_self,participant's response to given item,,
bible_1976,estimated responses to given item in given year,"Which of the following statements comes closest to describing your views about the Bible -- the Bible is the actual word of God and is to be taken literally, word for word, the Bible is the inspired word of God but not everything in it should be taken literally, or the Bible is an ancient book of fables, legends, history, and moral pr ",book of fables
bible_2017,estimated responses to given item in given year,"Which of the following statements comes closest to describing your views about the Bible -- the Bible is the actual word of God and is to be taken literally, word for word, the Bible is the inspired word of God but not everything in it should be taken literally, or the Bible is an ancient book of fables, legends, history, and moral pr ",book of fables
bible_self,participant's response to given item,,
god_1965,estimated responses to given item in given year,Do you believe in God? ,yes
god_2017,estimated responses to given item in given year,Do you believe in God? ,yes
god_self,participant's response to given item,,
black_intel_1990,estimated responses to given item in given year,,
black_intel_2018,estimated responses to given item in given year,,
black_intel_self,participant's response to given item,,
black_work_1990,estimated responses to given item in given year,hardworking: Black people. Lower = more hardworking,
black_work_2018,estimated responses to given item in given year,hardworking: Black people. Lower = more hardworking,
black_work_self,participant's response to given item,,
hispanic_work_1990,estimated responses to given item in given year,hardworking: Hispanic people. Lower = more hardworking,
hispanic_work_2018,estimated responses to given item in given year,hardworking: Hispanic people. Lower = more hardworking,
hispanic_work_self,participant's response to given item,,
hispanic_intel_1990,estimated responses to given item in given year,intelligent: Hispanic people. Higher = more intelligent,
hispanic_intel_2018,estimated responses to given item in given year,intelligent: Hispanic people. Higher = more intelligent,
hispanic_intel_self,participant's response to given item,,
asian_work_1992,estimated responses to given item in given year,hardworking: Asian people. Lower = more hardworking,
asian_work_2016,estimated responses to given item in given year,hardworking: Asian people. Lower = more hardworking,
asian_work_self,participant's response to given item,,
black_marry_1990,estimated responses to given item in given year,"What about having a close relative marry a black person? Would you be very in favor of it happening, somewhat In favor, neither in favor nor opposed to it happening, somewhat opposed, or very opposed to it happening? ",oppose
black_marry_2018,estimated responses to given item in given year,"What about having a close relative marry a black person? Would you be very in favor of it happening, somewhat In favor, neither in favor nor opposed to it happening, somewhat opposed, or very opposed to it happening? ",oppose
black_marry_self,participant's response to given item,,
hispanic_marry_1990,estimated responses to given item in given year,"What about having a close relative marry a Hispanic American person? Would you be very in favor of it happening, somewhat In favor, neither in favor nor opposed to it happening, somewhat opposed, or very opposed to it happening? ",oppose
hispanic_marry_2018,estimated responses to given item in given year,"What about having a close relative marry a Hispanic American person? Would you be very in favor of it happening, somewhat In favor, neither in favor nor opposed to it happening, somewhat opposed, or very opposed to it happening? ",oppose
hispanic_marry_self,participant's response to given item,,
asian_marry_1990,estimated responses to given item in given year,"What about having a close relative marry an Asian American person? Would you be very in favor of it happening, somewhat In favor, neither in favor nor opposed to it happening, somewhat opposed, or very opposed to it happening? ",oppose
asian_marry_2018,estimated responses to given item in given year,"What about having a close relative marry an Asian American person? Would you be very in favor of it happening, somewhat In favor, neither in favor nor opposed to it happening, somewhat opposed, or very opposed to it happening? ",oppose
asian_marry_self,participant's response to given item,,
women_politics_1974,estimated responses to given item in given year,,
women_politics_2018,estimated responses to given item in given year,Tell me if you agree or disagree with this statement: Most men are better suited emotionally for politics than are most women. ,agree
women_politics_self,participant's response to given item,Tell me if you agree or disagree with this statement: Most men are better suited emotionally for politics than are most women. ,agree
abortion_health_1972,estimated responses to given item in given year,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if the woman’s own health is seriously endangered by the pregnancy? ,yes
abortion_health_2018,estimated responses to given item in given year,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if the woman’s own health is seriously endangered by the pregnancy? ,yes
abortion_health_self,participant's response to given item,,
women_work_1994,estimated responses to given item in given year,Do you agree or disagree ... both the husband and the wife should contribute to the household income. ,agree
women_work_2012,estimated responses to given item in given year,Do you agree or disagree ... both the husband and the wife should contribute to the household income. ,agree
women_work_self,participant's response to given item,,
women_preschool_1988,estimated responses to given item in given year,"Do you think that women should work outside the home full-time, part-time or not at all under these circumstances: When there is a child under school age. ",stay home
women_preschool_2012,estimated responses to given item in given year,"Do you think that women should work outside the home full-time, part-time or not at all under these circumstances: When there is a child under school age. ",stay home
women_preschool,participant's response to given item,,
gay_adopt_1992,estimated responses to given item in given year,Do you think gay or lesbian couples should be legally permitted to adopt children?,yes
gay_adopt_2016,estimated responses to given item in given year,Do you think gay or lesbian couples should be legally permitted to adopt children?,yes
gay_adopt,participant's response to given item,,
gay_military_1992,estimated responses to given item in given year,Do you think homosexuals should be allowed to serve in the United States Armed Forces or don't you think so?,yes
gay_military_2012,estimated responses to given item in given year,Do you think homosexuals should be allowed to serve in the United States Armed Forces or don't you think so?,yes
gay_military_self,participant's response to given item,,
communist_1972,estimated responses to given item in given year,"Now, I should like to ask you some questions about a man who admits he is a Communist. Suppose this admitted Communist wanted to make a speech in your community. Should he be allowed to speak, or not?",allowed
communist_2018,estimated responses to given item in given year,"Now, I should like to ask you some questions about a man who admits he is a Communist. Suppose this admitted Communist wanted to make a speech in your community. Should he be allowed to speak, or not?",allowed
communist_self,participant's response to given item,,
anti_religion_1972,estimated responses to given item in given year,"There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebody who is against all churches and religion. If such a person wanted to make a speech in your (city/town/community) against churches and religion, should he be allowed to speak, or not?",allowed
anti_religion_2018,estimated responses to given item in given year,"There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebody who is against all churches and religion. If such a person wanted to make a speech in your (city/town/community) against churches and religion, should he be allowed to speak, or not?",allowed
anti_religion_self,participant's response to given item,,
homo_speak_1973,estimated responses to given item in given year,"And what about a man who admits that he is a homosexual? Suppose this admitted homosexual wanted to make a speech in your community. Should he be allowed to speak, or not?",allowed
homo_speak_2018,estimated responses to given item in given year,"And what about a man who admits that he is a homosexual? Suppose this admitted homosexual wanted to make a speech in your community. Should he be allowed to speak, or not?",allowed
homo_speak_self,participant's response to given item,,
militarist_1976,estimated responses to given item in given year,"Consider a person who advocates doing away with elections and letting the military run the country. If such a person wanted to make a speech in your community, should he be allowed to speak, or not?",allowed
militarist_2018,estimated responses to given item in given year,"Consider a person who advocates doing away with elections and letting the military run the country. If such a person wanted to make a speech in your community, should he be allowed to speak, or not?",allowed
militarist_self,participant's response to given item,,
racist_1976,estimated responses to given item in given year,"Or consider a person who believes that Blacks are genetically inferior. If such a person wanted to make a speech in your community claiming that Blacks are inferior, should he be allowed to speak, or not?",allowed
racist_2018,estimated responses to given item in given year,"Or consider a person who believes that Blacks are genetically inferior. If such a person wanted to make a speech in your community claiming that Blacks are inferior, should he be allowed to speak, or not?",allowed
racist_self,participant's response to given item,,
therm_explain,instructions for feelings thermometer,,
black_1964,estimated responses to given item in given year,"average response. 0 = cold, 100 = warm",
black_2016,estimated responses to given item in given year,"average response. 0 = cold, 100 = warm",
black_self,participant's response to given item,,
hispanic_1976,estimated responses to given item in given year,"average response. 0 = cold, 100 = warm",
hispanic_2016,estimated responses to given item in given year,"average response. 0 = cold, 100 = warm",
hispanic_self,participant's response to given item,,
illegal_1988,estimated responses to given item in given year,"average response. 0 = cold, 100 = warm",
illegal_2016,estimated responses to given item in given year,"average response. 0 = cold, 100 = warm",
illegal_self,participant's response to given item,,
gay_1984,estimated responses to given item in given year,"average response. 0 = cold, 100 = warm",
gay_2016,estimated responses to given item in given year,"average response. 0 = cold, 100 = warm",
gay_self,participant's response to given item,,
asian_1992,estimated responses to given item in given year,"average response. 0 = cold, 100 = warm",
asian_2016,estimated responses to given item in given year,"average response. 0 = cold, 100 = warm",
asian_self,participant's response to given item,,
poor_1972,estimated responses to given item in given year,"average response. 0 = cold, 100 = warm",
poor_2016,estimated responses to given item in given year,"average response. 0 = cold, 100 = warm",
poor_self,participant's response to given item,,
welfare_1976,estimated responses to given item in given year,"average response. 0 = cold, 100 = warm",
welfare_2012,estimated responses to given item in given year,"average response. 0 = cold, 100 = warm",
welfare_self,participant's response to given item,,
feminists_1988,estimated responses to given item in given year,"average response. 0 = cold, 100 = warm",
feminists_2016,estimated responses to given item in given year,"average response. 0 = cold, 100 = warm",
feminists_self,participant's response to given item,,
attention_1,participant passes by leaving blank,,
attention_2,participant passes by leaving blank,,
social_change,rate at which participant believes society changes,,
age,age,,
gender,gender,,
race,race,,
language,first langugage,,
language_2_TEXT,"""other"" option for language",,
eng_comp,self-rated English comprehension,,
check,"another attention check; participant shouold select ""other""",,
check_4_TEXT,"participant should write ""tree""",,
education,education level,,
political_ideology,liberal/conservative. Higher = more conservative,,
political_party,democrat/republican. Higher = more republican,,
lookup,did you look up any of the answers?,,
comments,open-ended comments,,
instructions_2_TEXT,not used,,
FL_,internal Qualtrics variable recording viewing order,,
